pricing_plan_id,app_id,feature
2929,1604,Invoice using Fakturoid.cz + Firma fakturoid.cz plan. Plan is suited for large ecommerces.
2931,1606,"1-2¢ per image (2¢ for the first 1000 files, 1¢ per image applies from the 1001 image)"
2931,1606,30-day backup (when app is installed)
2932,1606,"Optimization price 0,4¢/image"
2932,1606,Up to 12 000 optimized images/ Year
2932,1606,Weekly auto-optimization of new store images
2932,1606,Monthly reports
2932,1606,30-day backup
2938,1612,Ship up to 100 labels every month.
2939,1612,Ship up to 250 labels every month.
2940,1612,Ship up to 500 labels every month.
2943,1615,Send 100 email notifications / month
2943,1615,Activity reports & data exports
2943,1615,"Connect to Mailchimp, Klaviyo & more"
2944,1615,Send 500 email notifications / month
2944,1615,Activity reports & data exports
2944,1615,"Connect to Mailchimp, Klaviyo & more"
2944,1615,Connect to Shoelace Retargeting
2945,1615,"Send 5,000 email notifications / month"
2945,1615,Activity reports & data exports
2945,1615,"Connect to Mailchimp, Klaviyo & more"
2945,1615,Connect to Shoelace Retargeting
2946,1615,"Send 50,000 email notifications / month"
2946,1615,Activity reports & data exports
2946,1615,"Connect to Mailchimp, Klaviyo & more"
2946,1615,Connect to Shoelace Retargeting
2947,1616,- Unlimited Chat Rooms
2947,1616,- Unlimited Chat Users
2947,1616,- Chat Admin
2947,1616,- Support
2948,1616,- Unlimited Chat Rooms
2948,1616,- Unlimited Chat Users
2948,1616,- Fully Customizable Chat
2948,1616,- Theme editor
2948,1616,- Chat Admin
2948,1616,-Support
2949,1617,3000 Emails per Month
2949,1617,No Subscribers Limit
2949,1617,Unlimited Email Collector Views
2949,1617,Email Magnet
2949,1617,Email Templates
2949,1617,All Features
2949,1617,Premium Support
2956,1624,16-100 products
2957,1624,"101-1,000 products"
2958,1624,"1,001-2,000 products"
2959,1624,"10,001 and up"
2963,1628,Product Page with more bundles
2963,1628,Single Product in multiple bundles
2963,1628,Customizable widget design
2963,1628,No product duplicate
2963,1628,Flat monthly fee
2963,1628,Quick Support
2964,1629,Full access to bulk redirects.
2964,1629,Ability to request redirects to be mapped at $0.12/each.
2964,1629,Free 404 tracking for 7 days
2965,1629,Full access to bulk redirects.
2965,1629,"1,250 mapped URLs ($0.10/each thereafter)"
2965,1629,Free 404 tracking for 12 months
2965,1629,Priority redirect processing
2966,1630,100 Review Reminders Monthly
2966,1630,Import Reviews from CSV
2966,1630,Gallery on Product Page
2966,1630,Choose Rating Star Color
2967,1630,500 Review Reminders Monthly
2967,1630,Gallery Layout Selection
2967,1630,Preview Gallery before Publish
2967,1630,Email Coupon to Reviewers
2968,1630,Unlimited Review Reminders Monthly
2968,1630,Email Coupon to Reviewers
2968,1630,Customize Email Content
2968,1630,Customize Review Style
2968,1630,Remove Evotte Branding
2970,1632,50 Shipments
2970,1632,All Selling Channels (unlimited stores)
2970,1632,1 User
2970,1632,Branded Labels & Packing Slips
2970,1632,Email & Community Forum Support
2971,1632,500 Shipments
2971,1632,All Selling Channels (unlimited stores)
2971,1632,1 User
2971,1632,Branded Labels & Packing Slips
2971,1632,Email & Community Forum Support
2972,1632,"3,000 Shipments"
2972,1632,All Selling Channels
2972,1632,3 Users
2972,1632,Customized Packing Slips & Branded Labels
2972,1632,"Live Chat, Email & Community Forum Support"
2973,1632,Unlimited Shipments
2973,1632,All Selling Channels
2973,1632,10 Users
2973,1632,Customized Packing Slips
2973,1632,"Live Chat, Phone Support, Email & Community Forum Support"
2975,1634,"Includes first 1,000 orders / month"
2975,1634,39¢ per additional order
2975,1634,"Up to 250,000 Product Variants"
2976,1634,"Includes first 2,500 orders / month"
2976,1634,29¢ per additional order
2976,1634,"Up to 500,000 Product Variants"
2979,1637,Up to 250 recipients
2980,1637,Up to 250 recipients
2981,1637,$24.97/month (up to 1000 recipients).
2986,1642,"Up to 1,000 transactions / month"
2987,1642,"Up to 5,000 transactions / month"
2988,1642,"Up to 10,000 transactions / month"
2989,1642,Up to 50k tranx / month - $199
2989,1642,Up to 200k tranx / month - $499
2989,1642,Up to 500k tranx / month - $999
2989,1642,500k+ tranx?  Call us.
2991,1644,20% of ad spend. Ideal for spends up to $500 a month.
2992,1644,"4% of ad spend. Ideal for spends from $500 to $2,000 a month."
2993,1644,"3% of ad spend. Ideal for spends from $2,000 to $5,000 a month."
2994,1644,"0% of ad spend. Ideal for spends from $5,000+ a month"
3002,1651,pre-order tags
3002,1651,bulk pre-order settings import
3005,1654,Up to 300 Audit Pages for your website.
3005,1654,Create Campaigns for which you can track the progress made towards reaching your main goal.
3009,1658,Starting at 6.99 USD for up to 3 customizable products.
3010,1658,Starting at 450USD/month for up to 10 configurable products
3015,1663,Standard Plan
3015,1663,Import unlimited
3015,1663,1-click to order & fulfill A-Z
3015,1663,Pay & Fulfill in bulk: 50 orders/bulk.
3015,1663,Auto send tracking numbers to Shopify
3016,1663,Advanced plan
3016,1663,Pay & Fulfill in bulk: 500 orders/bulk.
3016,1663,Auto send tracking numbers to Paypal & Shopify
3016,1663,Auto-sync product info from
3017,1663,Professional plan
3017,1663,Pay & Fulfill in bulk: Unlimted orders.
3017,1663,Auto send tracking numbers to Paypal & Shopify
3017,1663,Private Warehouse
3018,1664,Earn your first $100 FREE - every month! Pay only for extra sales!
3018,1664,See https://shophero.io/pricing/ for more information
3019,1664,$20 per month
3019,1664,Access all features
3019,1664,Unlimited Messages & Campaigns
3019,1664,See https://shophero.io/pricing/ for more information
3020,1664,$88 per month
3020,1664,Access all features
3020,1664,Unlimited Messages & Campaigns
3020,1664,See https://shophero.io/pricing/ for more information
3021,1664,$150 per month
3021,1664,Access all features
3021,1664,Unlimited Messages & Campaigns
3021,1664,See https://shophero.io/pricing/ for more information
3028,1671,Desktop and mobile protection
3028,1671,Protect text & images & drag-and-drop
3028,1671,Disable keyboard shortcuts
3028,1671,"Disable “Save Image As” menu & Cut, copy"
3028,1671,More
3029,1672,Create up to 1000 shipping labels and invoices / month
3029,1672,Unlimited connected services
3029,1672,Support website
3029,1672,1 Month FREE trial with FULL access
3030,1672,Create up to 4200 documents/m
3030,1672,Address validation and correction
3030,1672,Bulk create multiple documents at once
3030,1672,Company details on VAT
3030,1672,Export to SAGA
3031,1672,Automatic fill in missing zip-code
3031,1672,Phone number validation
3031,1672,Track shipping orders
3031,1672,Import confirmation sheet
3031,1672,Secure link invoice
3031,1672,and many more
3033,1674,30-day free trial
3033,1674,Group products using your Tags and Collections
3033,1674,Set postal code rules
3033,1674,Unlimited custom rates
3033,1674,Unlimited rate lookups
3039,1680,"Import items from aliexpress, dhgate,alibaba, banggood, lightinthebox, miniinthebox, dropinthebox, gearbest,"
3040,1680,"Import items from aliexpress, amazon, ebay, walmart, etsy, dhgate,alibaba, banggood, lightinthebox, miniinthebox, dropinthebox, gearbest etc"
3042,1682,"For female, male or both clothing"
3042,1682,"Up to 5,000 tries"
3043,1682,For female or male clothing
3043,1682,"Up to 15,000 tries"
3044,1682,For female or male clothing
3044,1682,"Up to 50,000 tries"
3045,1682,For female and male clothing
3045,1682,"Up to 50,000 tries"
3048,1685,"Unlimited customer & order tracking, commission management, and everything else you need to get up and running."
3049,1685,"Everything in our Starter Plan, with twice the representatives, priority customer service."
3050,1685,"Everything in our Professional Plan, plus unlimited sales representatives and support for Shopify Point-Of-Sale (POS)."
3052,1687,1000 links/clicks per month
3052,1687,Android App to Whatsapp Abandoned Carts
3052,1687,Android App to Whatsapp Recent Orders
3053,1687,Unlimited links/clicks per month
3053,1687,Android App to Whatsapp Abandoned Carts
3053,1687,Android App to Whatsapp Recent Orders
3054,1688,"As a special launch promotion, we're offering a locked in grandfathered pricing of $4.99 per month for the first 100 users."
3060,1694,For all plans higher than Basic Shopify
3062,1696,Desktop-only
3062,1696,Protect text and images
3062,1696,"Disable keyboard, photo drag-and-drop"
3063,1696,Desktop and mobile protection
3063,1696,“Save Image As” menu
3063,1696,Text selection on products and articles
3063,1696,"Cut, copy keyboard shortcuts"
3063,1696,Photo drag-and-drop
3063,1696,More!
3065,1698,App is free without affiliate tag change.
3066,1698,In this you can to add own affiliate tags.
3068,1700,Up To 2 Streams
3068,1700,24H (Daily) Refresh Rate
3068,1700,18 Posts
3069,1700,Up To 10 Streams
3069,1700,15 Minutes Refresh Rate
3069,1700,200 Posts
3069,1700,No 'Powered By'
3069,1700,Hashtags Support
3069,1700,SEO
3070,1700,Unlimited # of Streams
